datetime,open,high,low,close,volume,instrument_id,heikin_ashi_signal,session_increment,vwap_session,vwap,vwap_upper_band,vwap_lower_band,sma_50,volume_ma,volume_ratio,rsi,ema_50,macd,macd_signal,momentum,momentum_signal,bollinger_middle,bollinger_upper,bollinger_lower,mean_reversion_signal,pivot,support1,resistance1,support2,resistance2,historical_resistance,historical_support,breakout_signal,TR,+DM,-DM,TR_smooth,+DM_smooth,-DM_smooth,+DI,-DI,DX,ADX_14,reversal_signal,ema_5,ema_12,ema_26,ema_12_26_signal,scalping_signal,sma_200,sma_100,sma_20,ADX_50,market_regime_ADX,market_regime_MA,volatility,vwap_trend_signal,momentum_signal_buy_accum,momentum_signal_sell_accum,mean_reversion_signal_buy_accum,mean_reversion_signal_sell_accum,breakout_signal_buy_accum,breakout_signal_sell_accum,reversal_signal_buy_accum,reversal_signal_sell_accum,vwap_trend_signal_buy_accum,vwap_trend_signal_sell_accum,ema_12_26_signal_buy_accum,ema_12_26_signal_sell_accum,scalping_signal_buy_accum,scalping_signal_sell_accum,heikin_ashi_signal_buy_accum,heikin_ashi_signal_sell_accum,total_buys,total_sells
2024-06-27 06:48:00+00:00,5532.25,5533.0,5532.0,5532.5,160,118,BUY,False,0_session,5532.5,5532.5,5532.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:49:00+00:00,5532.75,5532.75,5532.75,5532.75,36,118,BUY,False,0_session,5532.5459183673465,5532.72084548105,5532.370991253643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:50:00+00:00,5532.75,5532.75,5532.0,5532.25,80,118,SELL,False,0_session,5532.484299516907,5532.703740121494,5532.264858912321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:51:00+00:00,5532.25,5532.5,5532.0,5532.25,84,118,SELL,False,0_session,5532.429629629629,5532.6885386627655,5532.170720596492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:52:00+00:00,5532.25,5532.75,5532.25,5532.5,90,118,BUY,False,0_session,5532.443703703703,5532.680690050004,5532.206717357402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:53:00+00:00,5532.75,5533.0,5532.5,5533.0,52,118,BUY,False,0_session,5532.48406374502,5532.801695986127,5532.1664315039125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:54:00+00:00,5533.0,5533.0,5532.75,5533.0,54,118,BUY,False,0_session,5532.526079136691,5532.913840564838,5532.138317708544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:55:00+00:00,5532.75,5533.0,5532.25,5532.5,106,118,SELL,False,0_session,5532.5352467270895,5532.892688093606,5532.177805360573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:56:00+00:00,5532.75,5532.75,5532.5,5532.75,38,118,SELL,False,0_session,5532.542380952381,5532.894776674511,5532.18998523025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27 06:57:00+00:00,5532.75,5532.75,5532.25,5532.75,68,118,SELL,False,0_session,5532.546006944444,5532.88317284392,5532.208841044969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
